Name	Title	Comment	ChatText1	ChatText2	ChatText3
Martin	Weapon Store	Beginner's Village NPCU0020			
Kilman	Item Store	Beginner's Village  NPCO0027			
Somma	Magical Goods	Beginner's Village  NPCP0014			
Mogwafsky	The Blacksmith	Beginner's Village  NPCO0035			
Manafon	Accessory Store	Beginner's Village  NPCP0048			
Yoja	Spiritual Goods	Beginner's Village  NPCP0036			
Natalie	Storage Manager	Beginner's Village  NPCU0010			
Marit	Weapon Store	Meteor Pit NPCU0020			
Marts	Weapon Store	Meteor Pit  NPCF0019			
Marda	Weapon Store	Meteor Pit  NPCF0019			
Garisky	The Blacksmith	Meteor Pit  NPCO0035			
Hoasky	The Blacksmith	Meteor Pit  NPCO0035			
Ronsky	The Blacksmith	Meteor Pit			
Hoffmann	Item Store	Meteor Pit  NPCO0027			
Erifon	Accessory Store	Meteor Pit  NPCP0048			
Takifon	Accessory Store	Meteor Pit			
Yulilie	Storage Manager	Thunder Hill  NPCU0010			
Sonkou	Magical Goods	Thunder Hill  NPCP0014			
Sonlun	Magical Goods	Thunder Hill  NPCP0014			
Sontoma	Magical Goods	Thunder Hill			
Kuja	Spiritual Goods	Thunder Hill  NPCP0036			
Moja	Spiritual Goods	Thunder Hill  NPCP0036			
Roja	Spiritual Goods	Thunder Hill			
Huffman	Item Store	Meteor Pit  NPCO0027			
Anfon	Accessory Store	Meteor Pit			
Meifon	Accessory Store	Thunder Hill			
Marilie	Storage Manager	Meteor Pit  NPCU0010			
Alcrow	Card Trader	Meteor Pit npcc0057			
Alrin	Card Trader	Thunder Hill npcc0057			
Chebara	Guild	Meteor Pit NPCP0034			
Boman	Item Store	Seal Tower  NPCP0048			
Maon	Weapon Store	Meteor Pit NPCU0020			
Robinsky	The Blacksmith	Meteor Pit NPCO0035			
Sonlow	Magical Goods	Thunder Hill  NPCP0014			
Shuja	Spiritual Goods	Thunder Hill NPCP0036			
Yucha	Toy Store	Meteor Pit NPCC0043			
Micha	Toy Store	Thunder HillNPCC0043			
Parsinikov	Holy Crater (Gold Making) 2	Meteor Pit NPCU0068			
Tiga	Holy Crater (Blacksmith) 2	Meteor Pit NPCU0068			
Siga	Thunder Hill (Monk) 2	Thunder Hill NPCU0064			
Eriade	Thunder Hill (Devil Reiner) 2	Thunder Hill NPCU0064			
Sucha	Thunder Hill (Illusion) 2	Thunder Hill NPCU0066			
Medu	Thunder Hill (Spiritual Heal) 2	Thunder Hill NPCU0066			
Tidu	Newbie Store	Beginner's Village NPCC0040			
Ann	Item Store	Saint Field  NPCP0048			
Anise	Item Store	Aired Field  NPCP0048			
Almin	Card Trader	Meteor Pit npcc0057			
Alrita	Card Trader	Thunder Hill npcc0057			
Alkoner	Card Trader	Meteor Pit npcc0057			
Alza	Card Trader	Thunder Hill npcc0057			
Alun	Card Trader	Meteor Pit npcc0057			
Albany	Card Trader	Thunder Hill npcc0057			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Chesla	Guild	St. Louis Church  npcp127			
Marth	Weapon Store	San Joel npcu0068			
Marun	Weapon Store	San Joel npco144			
Fransky	The Blacksmith	San Joel npcp136			
Jolansky	The Blacksmith	San Joel npcp137			
Sonsin	Magical Goods	San Joel npcp117			
Sonyuna	Magical Goods	San Joel npcp189			
Raja	Spiritual Goods	San Joel npcu131			
Uja	Spiritual Goods	San Joel npcu121			
Trifon	Accessory Store	San Joel npcu132			
Ilfon	Accessory Store	San Joel npcu112			
Mahit	Weapon Store	San Joel npcu171			
Maho	Weapon Store	San Joel npcu141			
Slasky	The Blacksmith	San Joel npcu140			
Ninsky	The Blacksmith	San Joelnpcu170			
Sonlei	Magical Goods	San Joel npcu181			
Sonki	Magical Goods	San Joel npcu181			
Onja	Spiritual Goods	San Joel npcu133			
Rateja	Spiritual Goods	San Joel npcu193			
Littleman	Item Store	San Joel npcp107			
Latomita	Auction Staff	Meteor Pit npcf0046			
Karomita	Auction Staff	Thunder Hill npcf0051			
Salilie	Storage Manager	San Joel NPCU0010			
Almina	Card Trader	San Joel npcp107			
Almita	Card Trader	San Joel npcp128			
Altyoo	Card Trader	San Joel npcp107			
Alminif	Card Trader	San Joel npcp108			
Yacha	Toy Store	San Joel npcc0049			
Alrit	Card Trader	San Joel npcc0057			
Alrai	Card Trader	San Joel npcc0044			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Rokimita	Auction Staff	San Joel npcf0051			
Alyon	Card Trader	San Joel npcc0057			
Alrere	Card Trader	San Joel npcp107			
Alf	Card Trader	San Joel npcp128			
Altain	Card Trader	San Joel npcp107			
Alulia	Card Trader	San Joel npcp108			
Aluchia	Card Trader	Seal Tower 2F npcu132			
Aluma	Card Trader	Seal Tower 2F npcp189			
Alush	Card Trader	Seal Tower 2F npcp197			
Alua	Card Trader	Seal Tower 2F npcp187			
Fian	Guild Storage Manager	San Joel npco125			
Karifa	Auction Staff	San Joel NPCP106			
Filia	Guild Storage Manager	Meteor Pit npco135			
Haniamita	Auction Staff	Meteor Pit npcp188			
Finalia	Guild Storage Manager	Thunder Hill npcp189			
Kania	Auction Staff	Thunder Hill npcp127			
Troman	Item Store	San Joel npco114			
Tokuman	Item Store	San Joel npcu141			
Yoshiman	Item Store	Meteor Pit npco144			
Yokaman	Item Store	Meteor Pit npcu140			
Hightman	Item Store	Thunder Hill npcp136			
Rentman	Item Store	Thunder Hill npcu0069			
Lightman	Item Store	Star Pier npcp137			
Ittleman	Item Store	Star Pier npcp137			
Rottman	Item Store	Shell Pier npcp116			
Krashman	Item Store	Shell Pier npcp166			
Royman	Item Store	Spectre Station Center npcu130			
Eranman	Item Store	Spectre Station Center npcu122			
Trashman	Item Store	Spectre Isle npcu133			
Trafiman	Item Store	Spectre Isle npcu130			
Monilman	Item Store	Seal Tower 2F npcu120			
Monleiman	Item Store	Seal Tower 2F npcu130			
Lunafon	Accessory Store	San Joel NPCP0048			
Fell	Equipment Enhancement	Meteor Pit npcu230			
Fenwell	Equipment Enhancement	Thunder Hill npcu230			
Phoenix	Equipment Enhancement	San Joel npcu230			
Felk	Equipment Enhancement	Mirage Oasis npcu230			
Maran	Weapon Store	Mirage Oasis  npcu171			
Maleo	Weapon Store	Mirage Oasis  npcu141			
Minasky	The Blacksmith	Mirage Oasis  npcu140			
Snasky	The Blacksmith	Mirage Oasis npcu170			
Sonla	Magical Goods	Mirage Oasis  npco0125			
Sonlina	Magical Goods	Mirage Oasis  npco0195			
Ranja	Spiritual Goods	Mirage Oasis  npcu133			
Wija	Spiritual Goods	Mirage Oasis  npcu192			
Yolilie	Storage Manager	Mirage Oasis  NPCU0010			
Chesota	Guild	Mirage Oasis  npcp127			
Fillin	Guild Storage Manager	Mirage Oasis  npcp0106			
Minamita	Auction Staff	Mirage Oasis  npcu181			
Sianmita	Auction Staff	Mirage Oasis  npcf0051			
Toamita	Auction Staff	Heaven Shrine npcf0051			
Artman	Item Store	Sacred Hilltop npcf0051			
Yuman	Item Store	Mirage Oasis  npco114			
Etman	Item Store	Mirage Oasis  npcu141			
Shoaman	Item Store	Death Valley npcp116			
Kiteman	Item Store	Sacred Hilltop npcp166			
Yanfon	Accessory Store	Mirage Oasis  NPCP0048			
Sinfon	Accessory Store	Mirage Oasis  NPCP0048			
Kiafon	Accessory Store	Mirage Oasis  NPCP0048			
Tomafon	Accessory Store	Mirage Oasis  NPCP0048			
Ifon	Accessory Store	Mirage Oasis  NPCP0048			
Sicha	Toy Store	Mirage Oasis  npcc0049			
Alutan	Card Trader	Mirage Oasis  npcc0057			
Alray	Card Trader	Mirage Oasis  npcc0057			
Alkma	Card Trader	Mirage Oasis  npcc0057			
Alminay	Card Trader	Mirage Oasis  npcc0057			
Alhoy	Card Trader	Mirage Oasis  npcu132			
Altata	Card Trader	Mirage Oasis  npcp189			
Alyulan	Card Trader	Mirage Oasis  npcc0044			
Hunter Stone		Mirage Oasis  npce0239			
Hunter Stone		Heaven Shrine npce0239			
Hunter Stone		Thunder Shrine npce0239			
Hunter Stone		Cursed Desert npce0239			
Hunter Stone		Death Valley npce0239			
Hunter Stone		Sacred Hilltop npce0239			
Hunter Stone		Waterfall Tunnel npce0239			
Hunter Stone		Sandfall Maze npce0239			
Hunter Stone		Amethyst Cave npce0239			
Hunter Stone		Mystique Pyramid npce0239			
Hunter Stone		Vampire Castle npce0239			
Sotonman	Item Store	Death Valley  NPCP0048			
Leolman	Item Store	Cursed Desert NPCP0048			
Karlaman	Item Store	Cursed Desert NPCP0048			
Meowtan		Thunder Shrine NPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
Meowtan		Heaven Shrine NPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
Meowtan		Mirage Oasis  NPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
Meowtan		Cursed DesertNPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
Meowtan		Death Valley NPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
Meowtan		Sacred Hilltop NPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
Hunter Stone		Underworld Castle npce0239			
					
					
					
Chirsdo	Honor Handbook Seller	BS court npcp126	Use your cards to exchange for honorable titles with me!		
Chirsdo	Honor Handbook Seller	rolling thunder cave npcp126	Use your cards to exchange for honorable titles with me!		
Chirsdo	Honor Handbook Seller	thunder stage npcp126	Use your cards to exchange for honorable titles with me!		
Chirsdo	Honor Handbook Seller	Shell Pier npcp126	Use your cards to exchange for honorable titles with me!		
Chirsdo	Honor Handbook Seller	thunder temple npcp126	Use your cards to exchange for honorable titles with me!		
Bedora	Pet Jewel Specialist	Meteor Pit  npcu0261	Is your Jade Energy all dried up?  You can come to me to replenish it ~		
Londeberte	Divine Mercenary Technician	Meteor Pit NPCU0084	Want to increase the Exorcist Divine Mercenary's skill faster?  Then come find me.		
Londeberte	Divine Mercenary Technician	Thuder Hill NPCU0084	Want to increase the Exorcist Divine Mercenary's skill faster?  Then come find me.		
Londeberte	Divine Mercenary Technician	Saint Joel NPCU0084	Want to increase the Exorcist Divine Mercenary's skill faster?  Then come find me.		
Londeberte	Divine Mercenary Technician	Mirage Oasis NPCU0084	Want to increase the Exorcist Divine Mercenary's skill faster?  Then come find me.		
	Level 41 Required	Portal Note			
	Level 71 Required	Portal Note			
Silverkiss	Burial	Burial Mound			
Nihilias	Burial	Burial Mound			
					
Silspira	Job Master	Trial Field NPCP0009	Hmm...	I wonder what kind of talents you have?	
Arthur	Samurai General	Meteor Pit NPCU0084			
Sinansu	Magician Master	Thunder Hill  NPCO0027			
Masham	Spirit Medium Master	Thunder Hill  NPCP0008			
Draguscov	Machinist Master	Meteor Pit NPCU0037			
Lawrence	Saint Core Captain	Meteor Pit NPCU0050			
Koulan	Pioneer	Thunder Hill NPCU0062			
Maban	Union Spiritual Senior	Thunder Hill NPCO0054			
Branikov	School Principal	Meteor Pit NPCU0051			
Sopra	Seal Tower Investigation Team	Seal Tower NPCC0048			
Alta	Seal Tower Investigation Team	Seal Tower NPCC0048			
Winl	Seal Tower Investigation Team	Within Special Individual Quest, quest report npcf0051			
Winl	Seal Tower Investigation Team	Special Individual Quest npcf0051			
Semile	Rose Knight	St. Louis Church  NPCU1111	Only Paladins can join our knight team.	Only Paladins can join our knight team.	
Kohou	Secret Python	Thunder Hill NPCU130	So many crimes, so little time and energy. That master thief never said being a criminal was so tiring! *phew*	
Slizasky	Deep Lab President	Deep Lab  NPC144	Those crystals have immense power, we must retrieve them!	There is hidden power within the crystals. We must find a way to extract them.	
Incry	Traveling Ronin	Hira Castle Gate NPCP0127	I'm the lord of Hira Castle! Bow down -	Bow to your master!	
Incry	Traveling Ronin	Hira Castle 1F NPCP0127			
Semile		Quest Map NPCU1111			
Isabela	Rose Knight Major	St. Louis Church  npcu173	Evil Knights demand neither class nor ethics, solely power.	To an Evil Knight, strength is everything.	
Rocksly	Spirit Professor	Meteor Pit npco0047	If we created an elixir that could restore life, would it be good or bad? An elixir of life is within our grasp. But should it be used?	
Isabela	Rose Knight	Quest Map npcu173			
Sebastian	Weaponsmith Jones	Soul Lab npco204	Would you like to try making any weapons or other equipment?	Would you like to make a variety of equipment?	
Geova	Night Cliff	Thunder Hill npcu121			
Eleonora	Deep Lab Doctor	Deep Lab npco145	I'm a mineral researcher that's studied for many years. I'm not just an old fogey!	Nothing quite like mineral water, I tell you!	
Geolgy	Pharmacist	Spectre Station East npcu130	I'm bored... It's lonely.	Gosh, I need some excitement!	
Luthol	Mine Digger	Quest Map npcu141			
Sebastian	Examiner	Quest Map npco204			
Kira	Pharmacist Alex	Soul Lab npco205	What will happen if we scientists were gone?	Science must continue to boldly go where no one has before!	
Tatiana	Indigo Knight	Meteor Pit npcu113	What a demonic creature!	I'm not satisfied unless I defeat it!	
Kira	Examiner	Quest Map npco205			
Kira	Examiner	Quest Map npco205			
Sebastian	Examiner	Quest Map npco204			
Manalie		San Joel npcp0199	My heart... I can feel it cracking... *sob*	Oh, everyone...	
Jairo		Mort Snowfield(North East) npcp0107	Manalie...	
Flat	Ghost Recruiter	San Joel npcp0117	Do you want to join the Ogre Spirit Society? We have pie!	Instead, perhaps a bit of hot coffee with Manalie, hehehe...	
Rosan	Ancient Libarian	Soul Lab npco0035	What kind of books are you looking for?	We're not lending books since no one returns them!	
Sengen	Ghost Party Yinyang Master	San Joel npcu0079	The Ogre Spirit Society is for peace!	Eating is much better than a beating!	
Kyson	Ann Noyd	San Joel(center) npcp0107	I hear the wolves howl late at night these days...	Not interested.  Perhaps you can find a wall to run into.	
Lime	Hunters	Shell Pier npcu0110	No animals can run away from me!	If its a beast, I shall catch it!	
Lime	Hunters	Amethyst Cave(North) npcu0110	Isala... ... Where are you?	Arilan! Come out!	
Isala		Underground Cave(Individual)npcu0052			
Granikov	Science Leader	Soul Lab npco0085	Welcome to San Joel!	By the way, do you know where's Isala?	Where did Isala go?
Lutran	Head Scientist	Soul Lab npcu0087	Humph ... Hi!	Humph ... Hi!	
Batabi	Coward Priest	Hawk Nest Cave(Individual) npcu0250			
Batabi	Coward Priest	Castle entrance npcu0250			
Sandra	Flying Eagle	St. Louis Church  npcu0172	Without our leader, we're nothing but a chicken without the head!	I need to find them!	
Glide	Flying Eagle	St. Louis Church  npcu0111			
Maximilian	Royal Knight	St. Louis Church  npcu0171			
Larth	Vampire Expert	San Joel(East) npcu0170			
Odd Prophet		Amethyst Cave(South) npcu0249			
Vanhell		Hawk Nest(Individual)  npcu0249			
Vanhell		Hawk Nest(Individual)  npcu0249			
Clone		Sacred Hilltop npcc0240	hehehe	hehehe	
Mariana	Royal Knight	Sacred Hilltop npcu0084			
Maribela	Royal Knight	Sacred Hilltop npcu0173			
Mimian		Chamber of Hera(Individual)npcp0078			
Vanhell		Hawk Nest Cave(Individual) npcu0249			
Vanhell		Battle Chamber(Individual)npcu0249			
Vanhell		Chamber of Hera(Individual)npcu0249			
Vanhell		Waterfall Tunnel(Individual) npcu0249			
Batabi	Coward Priest	Illusionary Land(Individual)npcu0250			
Blue Flower 30	Blue Flower 30	A nervous young man in a brown gown (Van Helsing's partner)			
Alison	Cards And Titles	Holy Crater npcp108	Collect the card that I want, and you'll have a new title!		
Alison	Cards And Titles	Thunder Hill npcp108	Collect the card that I want, and you'll have a new title!		
Goodfoot	Hybrid Ghost	holy plateau  npcu0190			
Joy Parker	Hybrid Ghost	thunder grassland  npcu0011			
Hidden Blade	Ghost Party Vice Head Trainer	thunder temple  npcp0080			
Witch Lotus	Hybrid	Ruined Mason  npcp0183			
Generous Witch	Hybrid	Ruined Mason  npcp0192			
Busy Witch	Hybrid	Ruined Mason  npcu0230			
Drawing Stone	Hybrid	Ruined Mason  npcu0021			
Talking Stone	Hybrid	Ruined Mason  npcu0026			
Missing Flower	Ghost Party Host	Holy Crater       npcp0252	Come on, join our party! It's a fright!		
Dancing Queen		Holy Crater       npcc0048			
Hengery	Potionmaster	Holy Crater			
Justin	Science Researcher	npcu0037			
Uncle Kasha	Retired Samurai	npcf0053			
Edison	Spirit School Head Engineer	npco0088			
San Roco	Purple Knight Major	npcu0063			
Johnson	Ghost Party Thunder Hill Messenger	NPC0107			
Furious Fire	Noob Mage	thunder altar npcp0070			
Rum	Pub Lady Boss	npcp0109			
Missing Perfume	Ghost Party Host	Holy Crater npcp0252			
Burnt Land	Ghost Party Host	Thunder Hill npcp0038			
Power Peak	Traveling Monk	Stone Temple Plateau	I am a loving, traveling monk.		
Sherry	Sheriff	Bright Shadow FUN for summer. Use npcp0078Meteor Pit	If we want to defeat the monsters, we have to capture their boss!		
Sherry	Sheriff	Bright Shadow FUN for summer. Use npcp0078Thunder Hill	If we want to defeat the monsters, we have to capture their boss!		
Sherry	Sheriff	Bright Shadow FUN for summer. Use npcp0078San Joel	If we want to defeat the monsters, we have to capture their boss!		
Sherry	Sheriff	Bright Shadow FUN for summer. Use npcp0078Mirage Oasis	If we want to defeat the monsters, we have to capture their boss!		
Holy Dean		Beginner's Village			
Holy Dean		Meteor Pit			
Holy Dean		Thunder Hill			
Holy Dean		San Joel			
Holy Dean		Mirage Oasis			
Holy Messenger		Beginner's Village			
Holy Messenger		Meteor Pit			
Holy Messenger		Thunder Hill			
Holy Messenger		San Joel			
Holy Messenger		Mirage Oasis			
Little Ghastly Apparition		Spirited Away CaveB4F			
Little Ghost		Spectre Station Center Kitty			
Little Devil		Tishya Cavern North			
Little Monster		Waterfall Tunnel South			
Little Sprit		Underworld Castle Keep			
Holy Spy		Hidden Cave			
Holy Spy		Dark Night Subway			
Holy Spy		Tishya Cavern			
Holy Spy		Waterfall Tunnel			
Holy Spy		Underworld Castle			
Little Hasty Wolf		Beginner's Village			
Little Hasty Wolf		Meteor Pit			
Little Hasty Wolf		Thunder Hill			
Little Hasty Wolf		San Joel			
Little Hasty Wolf		Mirage Oasis			
Wolfman Spy		Nearby Seal Tower			
Wolfman Spy		Tender Plain			
Rabbit Mimi		Nearby Seal Tower	Anyone who has a Rabbit Head Coupon, come over to me!		
Hiaron	Bookworm	Heaven Shrine npcu0180	Someone, help my wife...	Someone, help my wife...	
Chacha	Maid	Underworld Castle 1Fnpcp0168			
Yuri	Mrs. Zoe	Underworld Castle Keep npcu0183			
Lebalo	Oasis Villager	Mirage Oasis npcu0253	There must be some secret at King Namu's grave...	There must be some secret at King Namu's grave...	
Alibella	Phara's Lover	Vanished Queen's Tomb npcp0252			
Asura	Ghost Party	Mysterious Sanctuary npcu0123			
Zidon	Egyptian Priest Offspring	Death Valley npcu0258			
					
					
					
Arthur	2nd Class Advancement	Meteor Pit NPCU0084			
Leonor	Samurai Spy	Corpse Church npcp0107			
Allen	Samurai Brother	Saint Field npcp0107			
Bacherikov	School President	Meteor Pit npco0086			
Marina	Lovely Sister	Corpse Church npcp0016			
Dalasnikov	Silent Brother	Saint Field npcp0136			
Kousouro	Secret Cult Prophet	Thunder Hill npcp0072			
Kansinro	Swimming Dragon	Plague Dungeon 1F npcp0034			
Tououro	Diving Dragon	Saint Field npcp0034			
Gdiri	Heaven's Union	Thunder Hill npco0073			
Bafa	Neoforma Raccoon	Plague Dungeon 1F npcp0036			
Vamo	Neo Chameleon	Saint Field npcp0036			
Beshalren	Beginner's Villagers	Beginner's Village NPCU0022			
Loisian	Beginner's Villagers	Beginner's Village NPCP0036			
Janlee	Beginner's Villagers	Beginner's Village NPCP0013			
Moka	Beginner's Villagers	Beginner's Village NPCO0017	Where's the star of hope that give us courage and confidence?	Stars sparkling all over the sky~	Stars are countless like my dreams.
Ely	Beginner's Villagers	Beginner's Village NPCU0007			
Rose	Beginner's Villagers	Beginner's Village NPCO0054			
Risaful	Beginner's Villagers	Beginner's Village NPCP0038			
Eric	Beginner's Villagers	Trial Field NPCP0059			
Jidy	Beginner's Villagers	Trial Field  NPCC0049			
Belkana	Beginner's Villagers	Trial Cave NPCU0012			
Mirat	Mainstream	NPCU0012			
Lutran	Scientist	Meteor Pit npcu0084			
Charace	Secret Cult	Meteor Pit npcu0084			
Rody	Nature	Meteor Pit npcu0084			
Semari	Mainstream	Meteor Pit npcu0084			
Edison	Science	Meteor Pit npcu0084			
Lyla	Three Round Test	NPCP0071			
Towy	Nature	Meteor Pit npcu0084			
Lebant	Odd Boy	Origin Chamber npcp0080			
Lebant	Odd Boy	Beginner's Village npcp0080	If you want to open the Umbra Guide, come to me! If you come to me you, can collect cards automatically! If you want to seal the Demon Lord, come to me!
Blijan	Beginner's Villagers	Trial Cave NPCU0021			
Martak	Mainstream Newbie's Supervisor	Spiritual Church NPCU0020			
Walgoskov	Science Newbie's Supervisor	Spiritual Church BF1 NPCU0025			
Rey	Cult Supervisor	Thunder Hill NPCP0033			
Musion	Nature Newbie's Supervisor	Thunder Hill NPCP0039			
Hileet	Mainstream Supervisor's Assistant	Meteor Pit npcp0036			
Katia	Science Supervisor's Assistant	Meteor Pit NPCP0004			
Yalouk	Secret Cult Supervisor's Assistant	Thunder Hill NPCU0011			
Dangimoon	Nature Supervisor's Assistant	Thunder Hill NPCP0006			
Tyan	Saint Knight	Meteor Pit NPCP0009			
Sean	Senior Residents	Meteor Pit NPCO0002			
Geechrokov	Gold Maker	Meteor Pit NPCF0053			
Dela	Senior Residents	Meteor Pit NPCP0005			
Lawlow	Senior Magician	Thunder Hill NPCO0017			
Kotoki	Resident	Thunder Hill NPCC0015			
Cashe	Senior Spirit Healer	Thunder Hill NPCO0054			
Fije	Spirit Medium	Thunder Hill NPCU0012			
Cartes	Senior Residents	Meteor Pit NPCO0055			
Sophia	Senior Residents	Meteor Pit NPCO0054			
Yuzan	Senior Residents	Thunder Hill NPCO0054			
Twiloba	Senior Residents	Thunder Hill NPCO0002			
Elle	Mysterious Girl	Thunder Hill NPCU0010			
Emma	Mysterious Girl	Meteor Pit NPCU0050			
Limei	Cultural Retired Senior	Meteor Pit npcu0084			
Csilla		Meteor Pit npcu0084			
Yotoll		Meteor Pit npcu0084			
Yorill		Meteor Pit npcu0084			
Maltina		Meteor Pit npcu0084	Although this place is dangerous, the air is fresh and the spirit is pure. Therefore, I am here to take a walk.	Although this place is dangerous, the air is fresh and the spirit is pure. Therefore, I am here to take a walk.	
Isabian	Priest	Meteor Pit npcu0084			
Citron	Pharmacy Expert	Meteor Pit npcu0084			
					
Palygon	Little Boy	Child. Wearing Meister like clothes. Simple looking.			
Layte	Sentimental Man	Child. Wearing Meister like clothes. Simple looking.			
Snachili		Child. Wearing Meister like clothes. Simple looking.			
